class,most_common_predicted,confidence,accuracy,n_samples
0,14,0.48,0.0,150
1,46,0.4605,0.0,76
2,26,1.0,0.0,4
3,16,0.3305,0.0,236
4,26,0.3679,0.0,106
5,52,0.5825,0.199,206
6,22,1.0,0.0,79
7,22,0.9718,0.0,248
8,44,0.9425,0.0,87
9,44,0.918,0.0,61
10,22,0.3423,0.0,222
11,47,0.3237,0.0,139
12,4,0.44,0.0,25
13,53,0.7128,0.0,289
14,53,0.8761,0.0,113
15,26,0.6872,0.0,195
16,5,0.6684,0.0,187
17,33,0.973,0.0,185
18,44,0.8226,0.0,62
19,33,0.9872,0.0,234
20,44,0.9032,0.0,124
21,53,0.4452,0.0,146
22,44,0.9365,0.0,63
23,44,0.6316,0.0,57
24,44,0.555,0.0,218
25,53,0.75,0.0,72
26,31,0.6667,0.0606,66
27,0,0.5,0.0,6
28,26,0.2634,0.0,205
29,44,0.7975,0.0,79
30,53,0.7778,0.0,153
31,22,0.6143,0.0286,70
32,4,0.9884,0.0,86
33,44,0.8861,0.0,79
34,44,0.7391,0.0,46
35,26,1.0,0.0,3
36,26,0.6316,0.0,57
37,47,0.7273,0.0,66
38,19,0.2451,0.0098,102
39,39,0.6364,0.6364,55
40,44,0.2913,0.0,103
41,44,0.8154,0.0,65
42,26,0.6667,0.0,3
43,53,0.6944,0.0,36
44,44,0.3957,0.3957,187
45,53,0.9925,0.0,134
46,13,0.3587,0.0217,92
47,52,0.443,0.0,158
48,44,0.8906,0.0,64
49,53,0.1885,0.0,122
50,26,0.6806,0.0,72
51,44,0.9101,0.0,89
52,44,0.8676,0.0,68
53,44,0.9737,0.0,38
